LPCX,LPCY,LEYEX,LEYEY,LEYEZ,,,true_x,B,iris_x_m,iris_y_m,,,iris_x,iris_y,iris_x_p,iris_y_p
0.32324,0.46032,-0.03916,0.00446,0.59479,,,544.7472,-267.4304,841.7472,441.4304,,1,544.999,-267.5,545.2550037,-267.514003
0.3234,0.46038,-0.03916,0.00446,0.59479,,,544.952,-267.4736,841.952,441.4736,,2,545.3403383,-267.5186706,545.907368,-267.6362862
0.32395,0.4604,-0.03727,0.00423,0.56932,,,545.656,-267.488,842.656,441.488,,3,546.2067423,-267.6853508,547.183206,-268.0890079
0.32435,0.46044,-0.03727,0.00423,0.56932,,,547.168,-267.5168,843.168,441.5168,,4,547.8137232,-268.2749625,549.517957,-268.2461452
0.32445,0.46046,-0.03727,0.00423,0.56932,,,549.296,-267.5312,843.296,441.5312,,5,550.6535295,-268.4235598,551.8770873,-268.4922426
0.325,0.46052,-0.04057,0.00463,0.62395,,,550,-267.5744,844,441.5744,,6,553.3348875,-268.687745,553.5026829,-269.0691902
0.3254,0.4605,-0.04057,0.00463,0.62395,,,550.512,-267.56,844.512,441.56,,7,555.000857,-269.3564735,554.1981926,-269.8531951
0.32552,0.46042,-0.04057,0.00463,0.62395,,,550.6656,-267.5024,844.6656,441.5024,,8,555.5147838,-270.2528494,554.4520126,-270.3010049
0.32609,0.46045,-0.03856,0.00447,0.5966,,,551.3952,-267.524,844.3952,441.524,,9,555.536861,-270.7111597,555.3051862,-270.7071001
0.32643,0.46037,-0.03856,0.00447,0.5966,,,551.8304,-267.4664,844.8304,441.4664,,10,556.3404199,-271.1163855,556.5288247,-270.8004885
0.32663,0.46048,-0.03856,0.00447,0.5966,,,552.0864,-267.5456,845.0864,441.5456,,11,557.6041681,-271.1425222,556.7573062,-270.8290653
0.32715,0.4604,-0.03856,0.00447,0.5966,,,552.752,-267.488,845.752,441.488,,12,557.652262,-271.1043305,556.0904353,-270.8111594
0.32753,0.46043,-0.03856,0.00447,0.5966,,,553.2384,-267.5096,846.2384,441.5096,,13,556.6516879,-271.023785,555.4631791,-270.3746896
0.32772,0.4606,-0.03856,0.00447,0.5966,,,553.4816,-267.632,846.4816,441.632,,14,555.7696426,-270.448164,555.1139665,-270.3737869
0.32804,0.46099,-0.03608,0.00411,0.56536,,,553.8912,-267.9128,846.8912,441.9128,,15,555.2794988,-270.4312747,555.4197044,-270.5038974
0.32776,0.46183,-0.03608,0.00411,0.56536,,,553.5328,-268.5176,846.5328,442.5176,,16,555.6154234,-270.577021,555.2856773,-270.4912371
0.32725,0.46267,-0.03608,0.00411,0.56536,,,552.88,-269.1224,845.88,443.1224,,17,555.4103373,-270.5458746,554.091209,-270.2033421
0.32553,0.46511,-0.03632,0.00379,0.56778,,,552.6784,-270.8792,843.6784,444.8792,,18,553.9314992,-270.1841386,553.3740355,-270.2703536
0.32451,0.46632,-0.03632,0.00379,0.56778,,,551.3728,-271.7504,842.3728,445.7504,,19,553.0941438,-270.2697368,553.0118978,-270.2654353
