LEYEX,LEYEY,LEYEZ,pitch,yaw,roll,iris_x,iris_y,Face_Center_X,Face_Center_Y
-0.02254,-0.05659,0.60847,-0.242533851,-0.077865936,0.008496864,546,-267.5,687,472
-0.02254,-0.05659,0.60847,-0.242533851,-0.077865936,0.008496864,546.1747573,-267.5194175,688,476
-0.02254,-0.05659,0.60847,-0.242533851,-0.077865936,0.008496864,546.4263819,-267.5724253,692,476
-0.02254,-0.05659,0.60847,-0.242533851,-0.077865936,0.008496864,547.2109757,-267.6085114,691,469
-0.02251,-0.05818,0.62808,-0.242533851,-0.077865936,0.008496864,548.8662705,-268.667117,687,470
-0.02251,-0.05818,0.62808,-0.242533851,-0.077865936,0.008496864,550.7795959,-269.958498,686,476
-0.02251,-0.05818,0.62808,-0.242533851,-0.077865936,0.008496864,551.189356,-269.6308973,687,476
-0.02251,-0.05818,0.62808,-0.242533851,-0.077865936,0.008496864,551.597479,-268.8156036,691,480
-0.02251,-0.05818,0.62808,-0.242533851,-0.077865936,0.008496864,554.0210498,-268.8965049,682,471
-0.02128,-0.06054,0.65844,-0.242533851,-0.077865936,0.008496864,554.4756728,-269.2676204,681,474
-0.02128,-0.06054,0.65844,-0.242533851,-0.077865936,0.008496864,552.9711219,-270.0379104,678,471
-0.02128,-0.06054,0.65844,-0.242533851,-0.077865936,0.008496864,553.3283098,-270.1337497,691,469
-0.02128,-0.06054,0.65844,-0.242533851,-0.077865936,0.008496864,553.7988313,-269.1233393,698,477
-0.02128,-0.06054,0.65844,-0.242533851,-0.077865936,0.008496864,554.468011,-268.9701479,686,472
-0.02128,-0.06054,0.65844,-0.242533851,-0.077865936,0.008496864,554.3182349,-270.4144303,684,474
-0.02128,-0.06054,0.65844,-0.242533851,-0.077865936,0.008496864,552.3331279,-271.810235,686,477
-0.02128,-0.06054,0.65844,-0.242533851,-0.077865936,0.008496864,554.8340818,-271.4473801,701,477
-0.02128,-0.06054,0.65844,-0.242533851,-0.077865936,0.008496864,552.864196,-270.6550797,700,475
-0.02128,-0.06054,0.65844,-0.242533851,-0.077865936,0.008496864,547.5452484,-269.5747969,702,479
-0.02128,-0.06054,0.65844,-0.242533851,-0.077865936,0.008496864,550.3842029,-269.2150799,703,477
-0.02128,-0.06054,0.65844,-0.242533851,-0.077865936,0.008496864,552.623604,-268.9708206,684,471
-0.02128,-0.06054,0.65844,-0.242533851,-0.077865936,0.008496864,554.305956,-268.8189175,685,471
-0.02128,-0.06054,0.65844,-0.242533851,-0.077865936,0.008496864,551.0214717,-266.9448996,686,477
-0.02128,-0.06054,0.65844,-0.242533851,-0.077865936,0.008496864,550.1173373,-266.9516327,693,465
-0.02128,-0.06054,0.65844,-0.242533851,-0.077865936,0.008496864,551.065955,-268.3835822,687,476
-0.02128,-0.06054,0.65844,-0.242533851,-0.077865936,0.008496864,550.0259658,-268.1510808,682,472
-0.02128,-0.06054,0.65844,-0.242533851,-0.077865936,0.008496864,551.0804239,-267.7682269,681,471
-0.02128,-0.06054,0.65844,-0.242533851,-0.077865936,0.008496864,553.6911855,-267.2811444,692,472
-0.02128,-0.06054,0.65844,-0.242533851,-0.077865936,0.008496864,552.4653457,-268.7438518,678,481
-0.02128,-0.06054,0.65844,-0.242533851,-0.077865936,0.008496864,551.3461878,-270.2946856,701,476
-0.02128,-0.06054,0.65844,-0.242533851,-0.077865936,0.008496864,550.4315081,-271.6333183,691,469
-0.02128,-0.06054,0.65844,-0.242533851,-0.077865936,0.008496864,548.323587,-270.3065781,687,475
-0.02128,-0.06054,0.65844,-0.242533851,-0.077865936,0.008496864,547.9708269,-269.0219189,701,475
-0.02128,-0.06054,0.65844,-0.242533851,-0.077865936,0.008496864,550.1443411,-268.1996231,679,473
-0.02128,-0.06054,0.65844,-0.242533851,-0.077865936,0.008496864,550.9265811,-268.8067086,685,472
-0.02128,-0.06054,0.65844,-0.242533851,-0.077865936,0.008496864,551.9538504,-270.6292079,685,476
-0.02128,-0.06054,0.65844,-0.242533851,-0.077865936,0.008496864,553.1336433,-272.4162902,680,478
-0.02128,-0.06054,0.65844,-0.242533851,-0.077865936,0.008496864,552.9389809,-271.6536971,682,474
-0.02128,-0.06054,0.65844,-0.242533851,-0.077865936,0.008496864,552.385511,-270.3289268,690,477
